"Sample"	"Sampling"	"Wells"	"Tox"	"Conc"	"Unit"	"Treatment"	"term"	"estimate"	"auc"
"141"	"Div5_set2"	"Mid"	"D01"	"Cont"	NA	NA	NA	"l"	21.1984387125364	10.7644434755955
"142"	"Div5_set2"	"Mid"	"D01"	"Cont"	NA	NA	NA	"r"	0.0844500054905219	10.7644434755955
"143"	"Div5_set2"	"Mid"	"C12"	"Para"	0.002	"mM"	NA	"K"	0.0763525622697953	7.8365788972117
"144"	"Div5_set2"	"Mid"	"C12"	"Para"	0.002	"mM"	NA	"l"	20.7089793700117	7.8365788972117
"145"	"Div5_set2"	"Mid"	"C12"	"Para"	0.002	"mM"	NA	"r"	0.0679996075974238	7.8365788972117
"146"	"Div5_set2"	"Mid"	"C11"	"Para"	0.005	"mM"	NA	"K"	0.253166811230464	25.764236392743
"147"	"Div5_set2"	"Mid"	"C11"	"Para"	0.005	"mM"	NA	"l"	18.8656418689668	25.764236392743
"148"	"Div5_set2"	"Mid"	"C11"	"Para"	0.005	"mM"	NA	"r"	0.0436335763520478	25.764236392743
"149"	"Div5_set2"	"Mid"	"C10"	"Para"	0.014	"mM"	NA	"K"	0.148645145532886	14.9533300082827
"150"	"Div5_set2"	"Mid"	"C10"	"Para"	0.014	"mM"	NA	"l"	17.4089888179185	14.9533300082827
"151"	"Div5_set2"	"Mid"	"C10"	"Para"	0.014	"mM"	NA	"r"	0.0143901725348494	14.9533300082827
"152"	"Div5_set2"	"Mid"	"C09"	"Para"	0.038	"mM"	NA	"K"	0.168377262753594	16.2847942980812
"153"	"Div5_set2"	"Mid"	"C09"	"Para"	0.038	"mM"	NA	"l"	19.1431210092559	16.2847942980812
"154"	"Div5_set2"	"Mid"	"C09"	"Para"	0.038	"mM"	NA	"r"	0.0120009257778033	16.2847942980812
"155"	"Div5_set2"	"Mid"	"C08"	"Para"	0.102	"mM"	NA	"K"	0.183182916113322	16.9581509666579
"156"	"Div5_set2"	"Mid"	"C08"	"Para"	0.102	"mM"	NA	"l"	26.6702837657765	16.9581509666579
"157"	"Div5_set2"	"Mid"	"C08"	"Para"	0.102	"mM"	NA	"r"	0.022353896168497	16.9581509666579
"158"	"Div5_set2"	"Mid"	"C07"	"Para"	0.274	"mM"	NA	"K"	0.125626332836907	10.2044828424826
"159"	"Div5_set2"	"Mid"	"C07"	"Para"	0.274	"mM"	NA	"l"	41.8484859973591	10.2044828424826
"160"	"Div5_set2"	"Mid"	"C07"	"Para"	0.274	"mM"	NA	"r"	0.0793162677109078	10.2044828424826
"161"	"Div5_set2"	"Mid"	"C06"	"Para"	0.731	"mM"	NA	NA	0	0
"162"	"Div5_set2"	"Mid"	"C05"	"Para"	1.956	"mM"	NA	NA	0	0
"163"	"Div5_set2"	"Mid"	"C04"	"Para"	5.23	"mM"	NA	NA	0	0
"164"	"Div5_set2"	"Mid"	"C03"	"Para"	13.985	"mM"	NA	NA	0	0
"165"	"Div5_set2"	"Mid"	"C02"	"Para"	37.397	"mM"	NA	NA	0	0
"166"	"Div5_set2"	"Mid"	"C01"	"Para"	100	"mM"	NA	NA	0	0
"167"	"Div5_set2"	"Mid"	"B12"	"NaCl"	0.09	"percent"	NA	"K"	0.0645544368765758	6.72045364882384
"168"	"Div5_set2"	"Mid"	"B12"	"NaCl"	0.09	"percent"	NA	"l"	19.1409091899427	6.72045364882384
