sampling	CellsL	CellsD	CellsT	pDead	DIV	Tox	BOT	ToxC
06/10/13	1830832.188	45439.39261	1876271.58	2.421791871	4	0	8	0
06/10/13	1830832.188	45439.39261	1876271.58	2.421791871	4	0	29	0
06/10/13	1624214.287	43218.48147	1667432.768	2.591917485	4	0	6	0
06/10/13	1624214.287	43218.48147	1667432.768	2.591917485	4	0	8	0
06/10/13	1624214.287	43218.48147	1667432.768	2.591917485	4	0	29	0
06/10/13	1205788.22	37050.76679	1242838.987	2.981139728	4	2	14	2.51E-08
06/10/13	1360527.028	29992.20062	1390519.229	2.156906571	4	5	17	3.98E-10
06/10/13	550854.6735	31531.86054	582386.5341	5.414249591	4	0	6	0
06/10/13	550854.6735	31531.86054	582386.5341	5.414249591	4	0	8	0
06/10/13	550854.6735	31531.86054	582386.5341	5.414249591	4	0	29	0
06/10/13	1756079.847	28689.7243	1784769.571	1.60747498	4	4	39	1.58E-09
06/10/13	955282.632	44523.23357	999805.8656	4.453187874	4	1	45	1.00E-07
06/10/13	63622.30936	14627.84398	78250.15334	18.69369369	4	6	47	1.00E-10
06/10/13	1107496.475	17311.71346	1124808.189	1.539081386	4	3	48	6.31E-09
06/10/13	532017.1329	30466.95707	562484.09	5.416501126	5	0	9	0
06/10/13	532017.1329	30466.95707	562484.09	5.416501126	5	0	11	0
06/10/13	532017.1329	30466.95707	562484.09	5.416501126	5	0	30	0
06/10/13	445920.8041	30805.11656	476725.9207	6.461808604	5	0	9	0
06/10/13	445920.8041	30805.11656	476725.9207	6.461808604	5	0	11	0
06/10/13	445920.8041	30805.11656	476725.9207	6.461808604	5	0	30	0
06/10/13	443083.7515	34436.92738	477520.6789	7.211609655	5	1	13	1.00E-07
06/10/13	1183279.62	36376.09394	1219655.714	2.982488707	5	4	21	1.58E-09
06/10/13	542218.2445	38434.61035	580652.8548	6.619206301	5	0	9	0
06/10/13	542218.2445	38434.61035	580652.8548	6.619206301	5	0	11	0
06/10/13	542218.2445	38434.61035	580652.8548	6.619206301	5	0	30	0
06/10/13	601732.4026	33080.44395	634812.8465	5.211054585	5	2	31	2.51E-08
06/10/13	1215953.447	34868.16689	1250821.614	2.787621073	5	5	34	3.98E-10
06/10/13	517832.414	77131.20603	594963.6201	12.96402056	5	3	38	6.31E-09
06/10/13	335323.565	25279.57446	360603.1395	7.01035895	5	6	46	1.00E-10
06/10/13	49266.49338	19608.55458	68875.04796	28.46975089	S	0	NA	NA
06/10/13	58567.22398	18940.51804	77507.74202	24.43693694	S	0	NA	NA
06/10/13	21192.98054	18592.02384	39785.00438	46.73123487	S	0	NA	NA
06/10/13	34119.20226	14022.81349	48142.01575	29.12801484	S	0	NA	NA
08/10/13	4599175.587	127522.8791	4726698.466	2.697927106	1	2	3	2.51E-08
08/10/13	4737935.675	169055.0178	4906990.693	3.445187253	1	5	7	3.98E-10
08/10/13	5519875.336	274624.0801	5794499.416	4.739392662	1	6	18	1.00E-10
08/10/13	4849337.475	177386.1334	5026723.609	3.528861884	1	0	20	0
08/10/13	4849337.475	177386.1334	5026723.609	3.528861884	1	0	27	0
08/10/13	4849337.475	177386.1334	5026723.609	3.528861884	1	0	35	0
08/10/13	4958331.662	228947.4149	5187279.077	4.413632108	1	3	23	6.31E-09
08/10/13	4933566.681	246203.228	5179769.909	4.753169201	1	0	20	0
08/10/13	4933566.681	246203.228	5179769.909	4.753169201	1	0	27	0
08/10/13	4933566.681	246203.228	5179769.909	4.753169201	1	0	35	0
08/10/13	4268038.324	224138.1867	4492176.511	4.989523144	1	4	28	1.58E-09
08/10/13	4515312.201	255043.0842	4770355.285	5.346416965	1	0	20	0
08/10/13	4515312.201	255043.0842	4770355.285	5.346416965	1	0	27	0
08/10/13	4515312.201	255043.0842	4770355.285	5.346416965	1	0	35	0
08/10/13	4542279.096	199673.0946	4741952.191	4.210778316	1	1	36	1.00E-07
08/10/13	2072989.526	49088.41359	2122077.94	2.313223877	2	0	2	0
08/10/13	2072989.526	49088.41359	2122077.94	2.313223877	2	0	43	0
08/10/13	2072989.526	49088.41359	2122077.94	2.313223877	2	0	44	0
08/10/13	2046595.92	41227.40493	2087823.325	1.974659658	2	6	5	1.00E-10
08/10/13	1951409.51	35626.91083	1987036.421	1.792967178	2	3	12	6.31E-09
08/10/13	2139248.101	41786.68203	2181034.783	1.915910849	2	5	19	3.98E-10
08/10/13	2197286.246	48264.8262	2245551.072	2.149353306	2	4	24	1.58E-09
08/10/13	1596316.379	32233.94083	1628550.32	1.979302723	2	2	25	2.51E-08
08/10/13	1936323.52	36711.65563	1973035.176	1.860669089	2	1	32	1.00E-07
